date,domain,total_backlinks,referring_domains,new_backlinks,lost_backlinks,domain_authority,data_source
2025-11-06,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2025-11-06,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2025-11-07,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2025-11-07,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2025-12-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-01-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-02-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-03-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-04-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-05-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-06-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-07-01,qualtrics.com,0,0,0,0,,RapidAPI + Moz
2026-08-01,qualtrics.com,0,0,0,0,N/A,RapidAPI + Moz
